dist,threshold
111,4.0
112,4.0
114,2.0
122,4.0
123,5.0
124,2.0
131,3.0
132,2.0
133,3.0
211,2.0
212,3.0
213,2.0
214,2.0
222,4.0
223,2.0
234,3.0
312,3.0
313,2.0
314,2.0
321,4.0
322,2.0
323,3.0
324,3.0
331,4.0
332,3.0
333,2.0
334,2.0
411,2.0
412,2.0
413,2.0
414,3.0
421,4.0
422,2.0
423,3.0
424,3.0
431,3.0
432,3.0
433,2.0
511,3.0
512,3.0
513,3.0
522,2.0
523,2.0
524,2.0
533,2.0
611,3.0
612,4.0
613,2.0
614,2.0
621,3.0
623,3.0
624,3.0
631,4.0
632,3.0
634,2.0
712,2.0
723,2.0
725,2.0
731,2.0
813,3.0
815,3.0
821,3.0
822,2.0
823,4.0
824,2.0
825,2.0
831,2.5
832,2.0
833,3.0
834,3.0
835,2.0
912,2.0
914,3.0
915,2.0
922,2.0
924,2.0
1011,3.0
1014,2.0
1021,3.0
1022,2.0
1112,3.0
1121,3.0
1122,2.0
1131,2.0
1132,2.0
1133,3.0
1134,2.0
1135,3.0
1214,4.0
1215,2.0
1221,2.0
1223,2.0
1224,4.0
1225,2.0
1231,3.0
1232,4.0
1233,3.0
1235,3.0
1411,2.0
1424,3.0
1432,2.0
1433,2.0
1522,3.0
1532,2.0
1533,3.0
1622,2.0
1633,2.0
1712,3.0
1722,2.0
1723,2.0
1732,2.0
1733,2.0
1821,2.0
1822,2.0
1824,2.0
1831,4.0
1832,4.0
1833,3.0
1834,7.0
1913,2.0
1914,2.0
1915,2.0
1922,2.0
1923,2.0
1924,2.0
1925,3.0
1933,2.0
1934,2.0
1935,2.0
2011,2.0
2212,3.0
2223,2.0
2232,2.0
2233,2.0
2234,2.0
2411,2.0
2412,2.0
2413,3.0
2422,3.0
2432,2.0
2433,2.0
2512,3.0
2514,2.0
2515,2.0
2521,2.0
2532,2.0
2533,3.0
2534,2.0
